Temperature,Humidity,Soil_Moisture,Rainfall,Crop_Type,Growth_Stage,Water_Requirement_mm,Irrigation_Needed
25.11258320887879,91.30357298074371,45.25966679962728,4.564712768879766,Wheat,Mid-season,0.0,0
17.699322727086077,54.44366689744004,23.3539736126462,0.7708098373328053,Maize,Development,0.4,0
16.523112633731706,74.14990792001186,56.62039899586626,0.003895346183291148,Sugarcane,Initial,0.17,0
31.672000759948347,65.87398703662106,5.388646787084458,0.11666261799161694,Maize,Mid-season,1.36,0
25.796246236311898,23.499924741021157,58.556553536280255,1.3248520002501218,Maize,Late-season,0.21,0
28.884329837167513,64.43109266465319,7.554772699599875,4.676665103248051,Cotton,Initial,0.0,0
16.756393010602547,91.16641529399999,58.10976181910077,8.261657864064384,Rice,Development,0.0,0
17.637147078172365,71.31747698841177,29.20838715567807,0.6507611697722432,Cotton,Late-season,0.23,0
15.928490070110897,88.19903015590866,19.23289898800093,5.431278992824902,Wheat,Development,0.0,0
29.041836571800893,61.00327095074597,15.166995053903987,17.46403566368113,Wheat,Late-season,0.0,0
40.366471422233104,87.11205128207366,37.88449883460968,12.747176896347025,Sugarcane,Initial,0.0,0
40.951644657432425,83.34003865086135,46.102606057555946,3.8792986797510065,Wheat,Initial,0.0,0
22.58523176155928,60.70220623686863,12.750832373611946,8.102417978873657,Rice,Initial,0.0,0
41.64594728821397,77.9183576972493,15.929362484379482,0.027687101879677375,Maize,Mid-season,1.0,0
34.08514828388566,74.67553760307405,47.419869067727014,0.38464632756898176,Wheat,Initial,0.09,0
39.703911239682085,83.75289333423495,29.719787077601186,0.5013680269315249,Cotton,Mid-season,0.68,0
30.96504026810863,40.60413447425481,35.868388421623564,2.4138387234125562,Maize,Initial,0.0,0
34.48669707145157,37.698868981171685,19.083757751872817,0.20636876158321657,Wheat,Development,1.28,0
26.862085550375795,35.12894017515471,54.266997762043566,3.2253122608268865,Cotton,Late-season,0.0,0
33.77893433350545,30.449859080440675,38.24295586027995,3.8809169773118484,Cotton,Late-season,0.0,0
40.45704640506548,64.9149099866402,43.21317131718375,10.620849071200036,Wheat,Initial,0.0,0
22.982109517618277,27.912069487270294,30.109401376560065,1.2323195802577698,Sugarcane,Development,0.83,0
38.848566990809445,44.32587657539555,11.714837508537034,2.2025957067065822,Rice,Initial,1.47,0
21.154249388632426,52.03308414696922,49.99081212573712,9.856724859399167,Maize,Initial,0.0,0
28.090409226692547,71.93270246677028,19.81767835891868,1.3993997565358598,Maize,Development,0.14,0
20.906633928472896,61.85765015130059,27.210989408192244,0.3354675629989471,Wheat,Late-season,0.21,0
21.66565369664223,72.22282046298412,44.17488244584431,0.8013539391000997,Rice,Mid-season,0.43,0
31.458237017457215,57.70092674216461,7.831331318749415,1.6331296050518467,Rice,Initial,0.98,0
21.468171048008255,30.867115406841734,31.919901815265966,21.2201849130763,Sugarcane,Mid-season,0.0,0
35.563729613875374,37.822815799429975,45.051899173652274,2.29261399632152,Sugarcane,Development,0.37,0
32.10530219054416,60.18310130560688,9.965937352992457,9.018223971231485,Sugarcane,Mid-season,0.0,0
20.035999780796065,23.058135616607295,37.4991118753533,5.659258671336744,Maize,Development,0.0,0
28.82651257408059,36.98718313984534,40.48450347251974,0.9580211126956688,Rice,Late-season,0.86,0
25.44185435011451,90.25474915525508,12.563651928029628,2.085662169975859,Rice,Development,0.34,0
39.96672769352119,85.80045150357357,19.18678952433356,5.393813695219572,Wheat,Late-season,0.0,0
29.990421913185482,59.723793376700485,18.301875999524842,0.48863070237470363,Sugarcane,Initial,0.31,0
39.31128754340992,67.4826092954951,23.64663850767854,2.1478380790582197,Maize,Late-season,0.0,0
